point_index,station_m_raw_direction,elevation_m,current_elevation_m,raise_m,modified,variant,geometry_source
307,386.000000000,12.609222747,12.020910173,0.588312574,1,local,constraint_reconstruction
308,387.246878512,12.337000000,12.337000000,0.000000000,0,local,constraint_reconstruction
309,398.067835631,11.690000000,11.690000000,0.000000000,0,local,constraint_reconstruction
310,412.504407092,12.020000000,12.020000000,0.000000000,0,local,constraint_reconstruction
311,427.847681560,15.600000000,15.600000000,0.000000000,0,local,constraint_reconstruction
312,450.404690266,16.590000000,16.590000000,0.000000000,0,local,constraint_reconstruction
313,472.844667483,16.640000000,16.640000000,0.000000000,0,local,constraint_reconstruction
314,490.059449411,19.920000000,19.920000000,0.000000000,0,local,constraint_reconstruction
315,499.791543623,23.300000000,23.300000000,0.000000000,0,local,constraint_reconstruction
316,510.535566272,23.300000000,23.300000000,0.000000000,0,local,constraint_reconstruction
317,514.492745489,19.840000000,19.840000000,0.000000000,0,local,constraint_reconstruction
318,531.643604399,19.290000000,19.290000000,0.000000000,0,local,constraint_reconstruction
